area_council,ward,community,sector,role_in_community,other_role_in_community,sex,age_in_completed_years,marital_status,occupation,other_occupation,physical_challenge,deaf,dumb,cripple,blind,amputee,has_other_physical_challenge,other_physical_challenge,community_existence,duration_in_community,community_duration_months,condition_of_roads,movement_easy_convenient,movement_difficult_inconvenient,transport_fare_high,too_many_accidents,public_power_supply,other_sources_of_electricity,hours_of_public_power,effect_of_power_condition,public_water_supply,private_boreholes,water_vendors,stream,hand_dug_wells,harvested_rain,most_impacted_by_water_supply,other_impacted_water_supply,healthcare_facility,teaching_hospital,specialist_hospital,private_hospital,maternity_health_center_or_dispensary,herbal_homes_traditional_birth_attendance,public_primary_healthcare_facility,functional_public_healthcare_facility,healthcare_residents_go_out_of_community,healthcare_increased_complications,healthcare_other_effect,healthcare_other_effect_non_functional,educational_institution,public_nursery_school,private_nursery_school,public_primary_school,private_primary_school,public_secondary_school,private_secondary_school,colleges_of_education_or_teacher_training,universities_polytechnics_research_institutions,other_types_educational_instutitions,other_educational_institutions,education_children_travel_long_distance,education_additional_costs,education_increased_danger_exposure,waste_mangement_system,who_manages_waste,waste_high_incidence_injury,waste_offensive_odour,waste_prevalence_of_diseases,waste_other_effects,other_waste_management_absence,services_supermarkets_departmental_stores,services_daily_markets,services_scheduled_markets,services_mobile_telephone_services,services_business_centres,services/Type_of_Services/hair_styling_t,services_fast_food_joints,services_other,services_other_services,services_market_available,market_facilities_access_roads,market_facilities_electricity,market_facilities_toilets,market_facilities_motor_parks,market_facilities_waste_refuse_dump,market_facilities_other,other_market_facilities,market_absence_effect_travel_long_distance,market_absence_effect_low_patronage,market_absence_effect_more_spent_to_markets,market_absence_effect_high_patronage,mtn_present,mtn_signal_strength,glo_present,glo_signal_strength,etisalat_present,etisalat_signal_strength,airtel_present,airtel_signal_strength,visafone_present,visafone_signal_strength,has_other_network,other_network_name,other_network_signal_strength,involved_in_budget_process,community_access_to_budget_document,respondent_awareness_of_project_in_budget,name_of_project_in_budget,project_in_budget_monitor_implementation,project_in_budget_ask_questions,project_in_budget_do_nothing,project_in_budget_get_media_attention,area_council_budget_community_writes_needs,area_council_budget_coummunity_consultation,area_council_budget_other,area_council_budget_other_ways,project_implemented_due_to_request,name_project_implemented_due_to_request,community_briefing_on_development,months_since_last_community_briefing,cda_present,cda_initiates_meetings_with_area_council,cda_writes_to_area_councils,cda_never_contacted_area_council,area_councils_initiate_meetings_with_cda,cda_work_with_area_council_other,other_cda_work_with_area_council,cda_gender_composition,priority_need_to_community,other_priority_need_to_community,gps_location_of_community,community_latitude,community_longitude,community_altitude,gps_precision,today,submission_time,submission_date
amac,nyanya,area_b,urban,ordinary_member,n/a,female,30,single,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,21_to_25,n/a,dilapidated,False,True,False,False,yes,n/a,1_to_6,household_management,no,False,True,True,True,True,lot_money_buying_water,n/a,yes,False,True,True,False,False,False,yes,n/a,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,no,n/a,True,True,True,False,n/a,True,True,False,True,True,True,True,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,True,False,True,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,False,True,False,True,False,False,n/a,don_t_know,n/a,don_t_know,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,access_road,n/a,9.0218186 7.5689061 0.0 3099.999,9.0218186,7.5689061,0,3099.999,2016-08-03,2016-08-03T17:26:01,2016-08-03
amac,nyanya,area_c,urban,ordinary_member,n/a,male,52,married,other,retired police,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,16_to_20,n/a,dilapidated,False,True,False,False,yes,n/a,1_to_6,household_management,no,False,True,False,True,True,lot_money_buying_water,n/a,no,False,False,False,True,False,False,yes,n/a,n/a,n/a,n/a,yes,False,True,False,True,False,True,False,False,False,n/a,n/a,n/a,n/a,no,n/a,True,True,True,False,n/a,False,True,False,True,True,True,True,False,n/a,yes,False,True,False,False,False,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,True,True,False,False,True,False,n/a,no,n/a,don_t_know,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,water,n/a,9.0214618 7.5695834 0.0 3500.0,9.0214618,7.5695834,0,3500,2016-08-03,2016-08-03T17:26:04,2016-08-03
amac,nyanya,area_b,urban,youth_leader,n/a,male,23,single,student,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,21_to_25,n/a,dilapidated,False,True,False,True,yes,n/a,1_to_6,household_management,no,True,True,False,True,True,lot_money_buying_water,n/a,yes,False,False,False,False,False,True,yes,n/a,n/a,n/a,n/a,yes,True,True,True,True,True,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,True,True,True,False,n/a,True,False,True,True,True,True,True,False,n/a,yes,True,True,True,True,False,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,don_t_know,yes,no,n/a,False,False,True,True,True,True,False,n/a,yes,Nyanya general hospital & bolehole,yes,1_to_6,yes,True,False,False,False,False,n/a,men_and_women,access_road,n/a,9.0288301 7.5691864 0.0 36.0,9.0288301,7.5691864,0,36,2016-08-03,2016-08-03T17:27:34,2016-08-03
amac,nyanya,area_c,urban,ordinary_member,n/a,female,27,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,6_to_10,n/a,dilapidated,False,True,False,False,yes,n/a,1_to_6,household_management,no,False,True,False,True,True,lot_money_buying_water,n/a,no,False,False,False,True,False,False,yes,n/a,n/a,n/a,n/a,yes,True,True,True,True,False,True,False,False,False,n/a,n/a,n/a,n/a,no,n/a,True,True,False,False,n/a,False,True,False,True,True,True,True,False,n/a,yes,True,True,False,False,False,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,False,True,False,False,True,False,n/a,don_t_know,n/a,don_t_know,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,water,n/a,9.0242256 7.5685674 0.0 2400.0,9.0242256,7.5685674,0,2400,2016-08-03,2016-08-03T17:27:51,2016-08-03
amac,gwarinpa,kuchigoro,urban,ordinary_member,n/a,female,47,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,30_or_more,n/a,non_graded,False,True,False,False,yes,n/a,1_to_6,household_management,no,True,True,False,True,True,lot_money_buying_water,n/a,yes,False,True,False,False,False,False,yes,n/a,n/a,n/a,n/a,yes,True,True,True,True,True,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,True,True,True,False,n/a,False,True,False,True,True,True,True,False,n/a,yes,False,True,False,False,False,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,no,no,don_t_know,n/a,False,False,True,False,True,False,False,n/a,don_t_know,n/a,don_t_know,n/a,yes,True,False,False,True,False,n/a,all_women,primary_health,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-03,2016-08-03T17:28:45,2016-08-03
amac,gwarinpa,kado_kauchi,urban,community_head,n/a,male,37,married,farming,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,30_or_more,n/a,non_graded,False,True,False,False,yes,n/a,24,household_management,no,True,True,False,True,True,lot_money_buying_water,n/a,no,False,False,False,False,True,False,yes,n/a,n/a,n/a,n/a,yes,True,True,True,True,True,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,True,True,True,False,n/a,False,False,False,True,True,True,True,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,True,True,False,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,don_t_know,no,no,n/a,False,True,True,False,True,False,True,Send Delegates,no,n/a,yes,1_to_6,yes,True,False,False,True,False,n/a,men_and_women,water,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-03,2016-08-03T17:28:58,2016-08-03
gwagwalada,dobi,ungwan_sarki_dobi,rural,community_head,n/a,male,66,married,farming,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,30_or_more,n/a,non_graded,False,True,False,False,yes,n/a,13_to_18,commercial_activities,no,True,False,False,False,True,lot_money_buying_water,n/a,yes,False,False,True,False,False,True,yes,n/a,n/a,n/a,n/a,yes,False,False,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,True,False,n/a,True,False,True,False,False,True,True,False,n/a,yes,False,False,False,True,False,False,n/a,n/a,n/a,n/a,n/a,yes,weak,yes,weak,no,n/a,yes,strong,no,n/a,no,n/a,n/a,no,no,don_t_know,n/a,False,False,True,False,True,False,False,n/a,yes,Major Road,no,n/a,yes,False,True,False,False,False,n/a,all_men,water,n/a,9.0517942 6.9912233 0.0 4800.0,9.0517942,6.9912233,0,4800,2016-08-03,2016-08-03T17:52:44,2016-08-03
gwagwalada,dobi,ungwan_sarki_dobi,rural,ordinary_member,n/a,female,15,single,student,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,11_to_15,n/a,non_graded,False,False,True,False,yes,n/a,1_to_6,household_management,no,True,False,True,False,False,long_distance_water_search,n/a,yes,False,False,True,False,False,True,yes,n/a,n/a,n/a,n/a,yes,False,True,True,True,True,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,True,False,n/a,True,False,True,False,False,True,True,False,n/a,yes,False,False,False,False,False,True,None,n/a,n/a,n/a,n/a,yes,strong,yes,strong,no,n/a,yes,strong,no,n/a,no,n/a,n/a,no,no,don_t_know,n/a,False,False,True,False,True,False,False,n/a,don_t_know,n/a,don_t_know,n/a,yes,True,False,False,False,False,n/a,more_men,water,n/a,9.056291666666668 6.9918233333333335 180.9 5.0,9.0562916667,6.9918233333,180.9,5,2016-08-03,2016-08-03T17:53:24,2016-08-03
amac,gwagwa,gwagwa,rural,women_leader,n/a,female,44,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,30_or_more,n/a,dilapidated,False,True,False,False,yes,n/a,1_to_6,commercial_activities,no,True,True,False,False,False,high_incidence_diseases,n/a,yes,False,False,False,False,False,True,yes,n/a,n/a,n/a,n/a,yes,False,True,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,yes,government,n/a,n/a,n/a,n/a,n/a,False,True,False,True,True,True,False,False,n/a,yes,True,False,False,False,True,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,yes,yes,yes,Borehole,True,False,False,False,True,False,False,n/a,yes,"water,renovation of schools",no,n/a,yes,False,True,False,False,False,n/a,more_men,access_road,n/a,9.0870253 7.3143615 0.0 2099.999,9.0870253,7.3143615,0,2099.999,2016-08-03,2016-08-03T18:57:59,2016-08-03
amac,gwagwa,gwagwa,rural,ordinary_member,n/a,male,48,married,farming,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,16_to_20,n/a,dilapidated,False,True,False,False,yes,n/a,1_to_6,commercial_activities,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,yes,False,False,False,False,False,True,yes,n/a,n/a,n/a,n/a,yes,False,True,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,yes,government,n/a,n/a,n/a,n/a,n/a,False,True,False,True,True,True,False,False,n/a,yes,True,False,False,False,False,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,False,True,False,False,False,True,Do Not Know,don_t_know,n/a,don_t_know,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,access_road,n/a,9.08687501523354 7.3163614038268765 395.85738273803145 20.0,9.0868750152,7.3163614038,395.857382738,20,2016-08-03,2016-08-03T18:59:17,2016-08-03
amac,gwagwa,ung_maiyaki_ibrahim,rural,ordinary_member,n/a,male,51,married,farming,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,30_or_more,n/a,non_graded,False,True,False,False,yes,n/a,7_to_12,household_management,no,False,True,False,True,False,high_incidence_diseases,n/a,yes,False,False,False,False,True,False,no,True,False,False,n/a,yes,False,False,True,False,True,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,False,True,False,n/a,False,False,True,True,False,False,False,False,n/a,yes,True,False,False,False,False,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,no,no,no,n/a,False,False,True,False,False,False,True,through jiwa chief,yes,secondaryschool,no,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,water,n/a,9.06991959848658 7.354694928952846 447.96970978658646 20.0,9.0699195985,7.354694929,447.9697097866,20,2016-08-03,2016-08-03T19:00:12,2016-08-03
amac,gwagwa,ung_maiyaki_ibrahim,rural,ordinary_member,n/a,male,33,single,unemployed,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,30_or_more,n/a,graded,False,False,True,False,yes,n/a,1_to_6,household_management,no,False,True,True,True,False,high_incidence_diseases,n/a,yes,False,False,False,False,False,True,yes,n/a,n/a,n/a,n/a,yes,False,False,True,False,True,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,False,True,False,n/a,False,False,True,True,False,True,False,False,n/a,yes,True,False,False,False,False,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,False,True,False,False,False,True,No idea,don_t_know,n/a,don_t_know,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,water,n/a,9.06920475379413 7.352905742537375 436.4617364285514 15.0,9.0692047538,7.3529057425,436.4617364286,15,2016-08-03,2016-08-03T19:01:10,2016-08-03
amac,jiwa,karmo,rural,other,Cabinet member,male,45,married,civil_service,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,30_or_more,n/a,non_graded,False,True,True,False,yes,n/a,24,household_management,no,True,True,False,True,False,unpunctuality,n/a,yes,False,False,False,False,False,True,yes,n/a,n/a,n/a,n/a,yes,True,True,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,no,n/a,True,True,True,False,n/a,False,True,False,True,True,True,True,False,n/a,yes,True,True,False,False,False,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,no,no,no,n/a,True,True,False,False,True,False,False,n/a,no,n/a,yes,7_to_12,yes,True,True,False,True,False,n/a,more_men,other,Hospital,9.07041171 7.36428517 452.79998779296875 5.0,9.07041171,7.36428517,452.799987793,5,2016-08-03,2016-08-03T19:17:31,2016-08-03
amac,jiwa,karmo,rural,ordinary_member,n/a,female,33,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,1_to_5,n/a,non_graded,False,True,True,False,yes,n/a,1_to_6,food_preservation,no,True,True,False,True,False,lot_money_buying_water,n/a,yes,False,False,False,False,False,True,yes,n/a,n/a,n/a,n/a,yes,True,True,False,True,True,True,False,False,False,n/a,n/a,n/a,n/a,no,n/a,True,True,True,False,n/a,False,True,False,True,True,False,True,False,n/a,yes,True,False,False,False,False,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,no,n/a,n/a,don_t_know,yes,no,n/a,False,False,True,False,True,False,False,n/a,no,n/a,yes,7_to_12,yes,False,True,False,False,False,n/a,men_and_women,access_road,n/a,9.07006435 7.36407656 474.3999938964844 5.0,9.07006435,7.36407656,474.3999938965,5,2016-08-03,2016-08-03T19:18:05,2016-08-03
amac,wuse,wuse_zone_4,urban,women_leader,n/a,female,42,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,11_to_15,n/a,fully_tarred,True,False,False,False,yes,n/a,7_to_12,household_management,yes,n/a,n/a,n/a,n/a,n/a,punctuality,n/a,yes,True,False,True,False,False,False,yes,n/a,n/a,n/a,n/a,yes,True,False,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,yes,government,n/a,n/a,n/a,n/a,n/a,True,True,False,False,True,True,True,False,n/a,yes,True,True,False,False,True,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,no,no,don_t_know,n/a,False,False,True,False,True,False,False,n/a,no,n/a,no,n/a,yes,True,False,False,False,False,n/a,men_and_women,power,n/a,9.065039785393811 7.476471812634652 509.3396053208 32.0,9.0650397854,7.4764718126,509.3396053208,32,2016-08-02,2016-08-03T19:28:11,2016-08-03
amac,wuse,wuse_zone_2,urban,community_head,n/a,male,60,married,unemployed,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,30_or_more,n/a,fully_tarred,True,False,False,False,yes,n/a,13_to_18,household_management,yes,n/a,n/a,n/a,n/a,n/a,punctuality,n/a,yes,True,False,True,False,False,False,yes,n/a,n/a,n/a,n/a,yes,True,False,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,yes,government,n/a,n/a,n/a,n/a,n/a,True,True,False,False,True,True,True,False,n/a,yes,True,True,False,False,True,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,no,no,no,n/a,True,False,False,False,True,False,False,n/a,no,n/a,no,n/a,yes,True,False,False,False,False,n/a,men_and_women,primary_health,n/a,9.06097853998773 7.464778119410414 497.7915844511819 16.0,9.06097854,7.4647781194,497.7915844512,16,2016-08-02,2016-08-03T19:28:29,2016-08-03
amac,wuse,wuse_zone_4,urban,community_head,n/a,male,46,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,6_to_10,n/a,fully_tarred,True,False,False,False,yes,n/a,7_to_12,food_preservation,yes,n/a,n/a,n/a,n/a,n/a,punctuality,n/a,yes,True,False,True,False,False,False,yes,n/a,n/a,n/a,n/a,yes,True,True,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,yes,government_private,n/a,n/a,n/a,n/a,n/a,True,True,False,True,True,True,True,False,n/a,yes,True,True,True,False,True,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,no,no,no,n/a,False,False,True,False,False,False,True,Not involved,no,n/a,no,n/a,yes,False,False,False,False,True,Not involved,men_and_women,other,Security,9.065018333333335 7.476618333333333 460.3 4.9,9.0650183333,7.4766183333,460.3,4.9,2016-08-02,2016-08-03T19:32:55,2016-08-03
amac,wuse,wuse_zone_2,urban,women_leader,n/a,female,43,married,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,30_or_more,n/a,fully_tarred,True,False,False,False,yes,n/a,7_to_12,food_preservation,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,yes,True,True,True,False,False,True,yes,n/a,n/a,n/a,n/a,yes,True,True,True,True,True,True,False,False,False,n/a,n/a,n/a,n/a,yes,government,n/a,n/a,n/a,n/a,n/a,True,True,False,True,True,True,True,False,n/a,yes,True,True,False,False,True,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,no,no,no,n/a,False,False,True,False,False,False,True,Not involved,no,n/a,no,n/a,yes,False,False,False,False,True,Not involved,men_and_women,other,Security,9.060998333333334 7.464920000000001 412.7 4.5,9.0609983333,7.46492,412.7,4.5,2016-08-02,2016-08-03T19:33:51,2016-08-03
kuje,kwaku,gadoro,rural,women_leader,n/a,female,35,married,farming,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,30_or_more,n/a,non_graded,False,True,True,False,no,none_of_the_above,n/a,commercial_activities,no,False,False,True,False,True,high_incidence_diseases,n/a,no,False,False,False,False,True,False,no,True,True,False,n/a,yes,False,False,True,False,False,False,False,False,True,The public primary school is not functioning,n/a,n/a,n/a,no,n/a,True,True,True,False,n/a,False,False,False,False,False,True,False,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,True,False,no,n/a,no,n/a,no,n/a,no,n/a,no,n/a,no,n/a,n/a,no,no,no,n/a,False,False,True,False,True,False,False,n/a,no,n/a,no,n/a,yes,True,False,False,False,False,n/a,more_men,primary_health,n/a,8.686628333333335 7.242723333333333 293.5 4.9,8.6866283333,7.2427233333,293.5,4.9,2016-08-03,2016-08-03T20:19:47,2016-08-03
kuje,kwaku,gadoro,rural,ordinary_member,n/a,male,20,single,student,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,16_to_20,n/a,non_graded,False,True,True,False,no,none_of_the_above,n/a,commercial_activities,no,False,False,True,False,True,high_incidence_diseases,n/a,no,False,False,False,False,True,False,no,True,True,False,n/a,yes,False,False,True,False,False,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,True,True,True,False,n/a,False,False,False,False,False,True,False,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,True,False,no,n/a,no,n/a,no,n/a,no,n/a,no,n/a,no,n/a,n/a,no,no,no,n/a,False,False,True,False,True,False,False,n/a,no,n/a,no,n/a,yes,True,False,False,False,False,n/a,men_and_women,water,n/a,8.686503333333333 7.24291 333.2 5.0,8.6865033333,7.24291,333.2,5,2016-08-03,2016-08-03T20:22:14,2016-08-03
kuje,yenche,yenche,rural,other,Community Head's Son.,male,25,single,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,21_to_25,n/a,non_graded,False,True,True,False,no,generators,n/a,commercial_activities,no,False,False,True,True,True,high_incidence_diseases,n/a,yes,False,False,False,False,False,True,yes,n/a,n/a,n/a,n/a,yes,False,False,True,False,True,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,False,True,False,n/a,False,False,False,False,False,True,True,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,True,False,no,n/a,yes,weak,yes,weak,yes,weak,no,n/a,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,False,True,False,True,False,False,n/a,yes,Non functional borehole and electricity,yes,7_to_12,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,access_road,n/a,8.62889 7.099495 187.9 4.8,8.62889,7.099495,187.9,4.8,2016-08-03,2016-08-03T20:24:54,2016-08-03
kuje,yenche,yenche,rural,ordinary_member,n/a,female,20,married,student,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,16_to_20,n/a,non_graded,False,True,True,False,no,generators,n/a,commercial_activities,no,False,False,True,True,True,high_incidence_diseases,n/a,yes,False,False,False,False,False,True,yes,n/a,n/a,n/a,n/a,yes,False,False,True,False,True,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,False,True,False,n/a,False,False,False,False,False,True,True,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,True,False,no,n/a,yes,weak,yes,weak,yes,weak,no,n/a,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,False,True,False,True,False,True,Send Delegates,no,n/a,no,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,access_road,n/a,8.628788333333334 7.09936 173.6 4.8,8.6287883333,7.09936,173.6,4.8,2016-08-03,2016-08-03T20:27:25,2016-08-03
amac,nyanya,nyanya_fha,urban,youth_leader,n/a,male,36,single,civil_service,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,6_to_10,n/a,dilapidated,True,False,True,True,yes,n/a,7_to_12,commercial_activities,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,no,False,False,True,False,False,False,no,True,True,False,n/a,yes,False,True,False,True,False,True,False,False,False,n/a,n/a,n/a,n/a,yes,waste_manager_engaged,n/a,n/a,n/a,n/a,n/a,True,True,False,True,True,True,True,False,n/a,yes,True,True,False,False,False,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,strong,yes,strong,yes,weak,no,n/a,no,n/a,n/a,don_t_know,no,don_t_know,n/a,True,True,False,False,True,False,False,n/a,don_t_know,n/a,don_t_know,n/a,yes,True,False,False,False,False,n/a,more_women,power,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-04,2016-08-04T11:48:12,2016-08-04
amac,nyanya,nyanya_fha,urban,ordinary_member,n/a,female,30,married,unemployed,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,1_to_5,n/a,dilapidated,True,False,False,True,yes,n/a,7_to_12,commercial_activities,yes,n/a,n/a,n/a,n/a,n/a,no_or_low_incidence_diseases,n/a,no,False,False,True,False,False,False,no,True,True,False,n/a,yes,False,True,False,True,False,True,False,False,False,n/a,n/a,n/a,n/a,yes,waste_manager_engaged,n/a,n/a,n/a,n/a,n/a,True,True,False,True,True,True,True,False,n/a,yes,True,True,False,False,False,False,n/a,n/a,n/a,n/a,n/a,yes,strong,yes,weak,yes,strong,yes,strong,no,n/a,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,True,False,False,True,False,False,n/a,don_t_know,n/a,no,n/a,yes,True,False,False,False,False,n/a,more_men,power,n/a,n/a,n/a,n/a,n/a,n/a,2016-08-04,2016-08-04T11:49:29,2016-08-04
amac,gwagwa,zauda_village,rural,community_head,n/a,male,26,married,student,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,born_here,26_to_30,n/a,non_graded,False,True,False,False,yes,n/a,1_to_6,commercial_activities,no,True,False,False,False,False,lot_money_buying_water,n/a,no,False,False,True,False,False,False,no,True,False,False,n/a,yes,False,True,True,True,False,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,True,False,n/a,False,False,False,False,True,True,True,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,True,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,no,no,yes,Transformer/borehole,False,False,True,False,True,False,False,n/a,yes,Borehole,no,n/a,yes,False,True,False,False,False,n/a,men_and_women,primary_health,n/a,9.09706 7.296351666666667 435.8 10.5,9.09706,7.2963516667,435.8,10.5,2016-08-04,2016-08-04T11:53:50,2016-08-04
amac,gwagwa,zauda_village,rural,ordinary_member,n/a,male,30,single,business,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,migrated_here,1_to_5,n/a,non_graded,False,True,False,False,yes,n/a,1_to_6,commercial_activities,no,True,False,False,False,False,lot_money_buying_water,n/a,no,False,False,True,False,False,False,no,True,False,False,n/a,yes,False,True,True,True,False,False,False,False,False,n/a,n/a,n/a,n/a,no,n/a,False,True,True,False,n/a,False,False,False,False,True,True,True,False,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,True,False,False,True,yes,strong,yes,strong,yes,strong,yes,strong,yes,strong,no,n/a,n/a,don_t_know,no,don_t_know,n/a,False,False,True,False,True,False,False,n/a,no,n/a,no,n/a,yes,False,True,False,False,False,n/a,men_and_women,other,Secondary School,9.09673 7.296568333333332 364.1 2.7,9.09673,7.2965683333,364.1,2.7,2016-08-04,2016-08-04T11:54:03,2016-08-04
